item,text
R1,The major functions the Correlator Backend System must perform are as follows: /g183/g32Receive data from the Correlator in real-time. /g183/g32Assemble time-series from the Correlator lag output. /g183/g32Perform Fourier Transforms of the assembled time series. /g183/g32Perform a limited number of additional processes upon user request. /g183/g32Deliver suitably formatted results to the End-to-End System.
R2,This document will define only those requirements that must be fulfilled by the Correlator Backend System.
R3,"Currently, only a conceptual diagram exists for the system and should be viewed as such (see Figure 1)."
R4,Operations performed shall be reversible.
R5,"That is, the original raw uncorrected data must be recoverable from the processing output."
R6,Lag Frames – The BE shall receive LTA or Speed Dump Lag Frames from the Correlator.
R7,Transfers – The transfer shall take place in such a manner that all data needed to perform any Fourier Transform shows-up on a single processor.
R8,"State Counts – The BE shall receive, via M&C, State Count data produced by the Correlator."
R9,"Observational Mode – The BE shall receive, via M&C, data and parameters specific to the current EVLA Observational Mode needed for processing the Correlator Lag values."
R10,"Meta-data – The BE shall receive, via M&C, all meta-data necessary to format BE results for delivery to the E2E."
R11,Operational Status and Control – The BE shall provide operational status data to and receive control data from the M&C System.
R12,Error and Warning – The BE shall provide error and warning reports to M&C as operating conditions warrant.
R13,Debug/Test Messages – The BE shall provide several optionally selectable levels of printed messages detailing operational parameters at critical locations in the system.
R14,Formatted Output – The BE shall deliver formatted final results to the e2e System.
R15,The BE shall produce all data needed by the e2e System for archiving and further processing.
R16,Monitor and Control System – The BE shall acknowledge receipt of all data received from M&C.
R17,Correlator System – The BE shall notify M&C of any detected interruptions of data delivery from the Correlator.
R18,e2e – The BE shall verify successful delivery of output to the e2e.
R19,Internal Data – The BE shall guarantee safe delivery of all internal messages.
R20,Lag Frames – The BE shall be able to handle lag frames of less than 128 values.
R21,Lag Sets - The BE shall be able to handle lag sets up to a maximum size of
R22,Data Receive – The BE shall receive incoming data packets from the Correlator to Backend network interface.
R23,Verify Receive – The BE shall verify the successful receipt of incoming data from the Correlator.
R24,Input Data Management - The BE shall store input data records in a memory buffer and track buffer locations of all input data until data processing is complete.
R25,"Processing Management – The BE shall respond to incoming correlator mode changes, user optional processing sequence and/or parameter changes, and other external inputs that affect the data processing pipeline ."
R26,Time Series Assembly – The BE shall assemble the received input data into continuous time series (lag sets).
R27,Data Integrity Verification – The BE shall ensure that time series data is correctly ordered and contains valid data values along its entire extent.
R28,Data Invalid – The BE shall replace all invalid data with zero values.
R29,Data Invalid Count – The BE shall keep track of data invalids.
R30,Normalization – The BE shall be able to apply normalizations based on reported data invalid counts.
R31,Coarse Quantization Correction - The BE shall be able to apply corrections based on state count and/or quantizer power measurement data.
R32,Time Stamp Adjustment – The BE shall be able to make time stamp adjustments as required by the observational mode and correlator output parameters.
R33,Windowing – The BE shall be able to perform windowing operations prior and subsequent to Fourier Transform.
R34,Time Domain Processing – The BE shall be able to apply user selected time domain processes.
R35,Fourier Transform Processing – The BE shall be able to perform Fourier Transform the lag set time series.
R36,This process must be able to accept as input the output of any of the time domain processes.
R37,Frequency Domain Processing – The BE shall be able to apply user selected frequency domain processes.
R38,"Integration – The BE shall be able to sum the frequency domain, spectral results."
R39,The BE shall keep track of the number of samples/dumps integrated in each spectral channel.
R40,Output Formatting – The BE shall combine the finished spectra with meta- and auxiliary data to form suitably formatted output data sets.
R41,Output Data Management – The BE shall store formatted output data records in a memory buffer with backup disk buffering.
R42,Data Send – The BE shall send output data to the e2e System.
R43,Send Verify – The BE shall verify that all sent data was successfully received.
R44,Monitor I/O Performance – The BE shall monitor data transfer rates from
R45,Monitor Compute Performance – The BE shall monitor the overall data processing rate.
