item,text
R1,"Registration Citizens can register their complaints with police and then based on the evidence, facts and following investigation, police shall take the comp laint forward."
R2,The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.
R3,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.
R4,The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.
R5,"The System must keep an unalterable audit trail capable of automatically capturing and storing information about: • All the actions (create/read/update/delete) that are taken upon the critical entities (case, suspect, property,…) in the system • The user initiating and or carrying out the action;"
R6,"Once the audit trail functionality has been activat ed, the System must track events without manual intervention, and store in th e audit trail information about them."
R7,"The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers."
R8,"The System must ensure that audit trail data is ava ilable for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by author ised external personnel who have little or no familiarity with the system."
R9,The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System).
R10,The System must be able to capture and store violat ions (i.e.
R11,The System must at a minimum be able to provide rep orts for actions on cases organised: • By case;
R12,The System should be able to provide reports for ac tions on cases organised by workstation and (where technically appropriate) by network address.
R13,The System must allow the user to limit access to c ases to specified users or user groups.
R14,The system should provide for role-based control fo r the functionality within
R15,The System must allow a user to be a member of more than one group.
R16,The System must allow only admin-users to set up us er profiles and allocate users to groups.
R17,The System should allow a user to stipulate which o ther users or groups can access cases.
R18,"The System must allow changes to security attribute s for groups or users (such as access rights, security level, privileges, passw ord allocation and management) to be made only by super-user."
R19,"If a user requests access to, or searches for, a ca se which he does not have the right to access, the System must provide one of the following responses (selectable at configuration time): • display title and metadata;"
R20,"If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access."
R21,"If the System allows users to make unauthorised att empts to access cases, it must log these in the audit trail."
R22,"All error messages produced by the System must be m eaningful, so that they can be appropriately acted upon by the users who are likel y to see them."
R23,"The System must employ a single set of user interfa ce rules, or a small number of sets to provide a familiar and common look and feel for the application."
R24,"The System must be able to display several entities (cases, suspects) simultaneously."
