item,text
R1,This software will contain all of the basic needs to manage an online store.
R2,"OE-1: Web Store shall operate with the following internet browsers: Microsoft Internet Explorer version 6 and 7, Netscape Communicator Version 4 and 5."
R3,OE-2: Web Store shall operate on an Intel based system with Slackware Linux 2.6 and Apache Web Server.
R4,OE-3: The system shall use SQL based database to store inventory information.
R5,CO-1: Must use a SQL based database.
R6,Other versions may not be 100% compatible.
R7,Also other browsers such as Mozilla or Firefox may not be 100% compatible.
R8,"UD-1: Shall install online help for users via the web interface UD-2: Shall deliver Operations and Maintenance manual, Users Guide book, and Installation Instructions for the Administrator."
R9,The interface must remain consistent among various web browsers and be intuitive to the customer.
R10,CI-1: The WebOrder system shall send an e-mail confirmation to the customer that the items they ordered will be delivered to the shipping address along with tracking number.
R11,CI-2: The WebOrder system shall send an e-mail to System Administrator regarding any technical queries from customers or sales people.
R12,• Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute. • The system shall be able to handle 1000 customers logged in concurrently at the same time. • The system shall be able to retrieve 200 products per second. • The system shall be able to add product to shopping cart in less than 2ms. • The system shall be able to search for a specified product in less than 1 second. • The system shall be able to email customer and vendor in less than 1 second. • The system shall be able to validate credit card in less than 2 seconds. • The system shall be able to acquire shipping charges in less than 2 seconds. • The system shall be able to restore 1000 records per second.
R13,• The system shall validate credit cards against fraud. • The system shall encrypt all sensitive information via https. • The system shall encrypt all customer data in database. • The system shall auto detect IP DOS attacks and block IP automatically. • The system shall detect consecutive failed login attempts. • The system shall be protected by open source firewall called Firestarter. http://www.fs-security.com/
R14,• The system shall have an availability of 99.99%.
R15,"• The system shall perform searches via Dijkstra's shortest path algorithm. • For returning customers, the system shall validate 'existing' credit card in system after each log in. • The system shall automatically compress image files that are too large in size. • The system will employ on demand asynchronous loading for faster execution of pages. • The system shall validate email address existence."
R16,"• The system shall be easy to use • The system shall be easy to learn • The system shall utilize help bubbles to assist managers, customers, and administrators • The system shall employ easy to locate buttons • The system shall prompt customer with friend easy to read error messages. • The system shall utilize consistent symbols and colors for clear notifications."
R17,"• The system shall utilize interchangeable plugins. • The system shall be easily updatable for fixes and patches. • The system shall create logs of all changes, updates, or fixes that are done to the site. • The system shall be easy to upgrade."
R18,• The system shall be extremely portable via the usb drive. • The system shall be easy to migrate or backed up via another usb drive.
R19,Other Requirements • The system hardware shall be fixed and patched via an internet connection. • Yoggie shall coordinate on future enhancement and features with our organization. • The system shall adhere to the following hardware requirements: • 4GB Flash ram chip • 128MB SDRAM • Intel XScale PXA270 520-MHz chipset • OS: Apache web server • Database: MySQL
R20,Nonfunctional requirements: A description of a property or characteristic that the system should exhibit.
R21,Pre condition: A condition that must be satisfied or a state the system must be in before a use case may begin.
R22,Requirement: A statement of a customer need or objective or of a condition or capability that a product must possess to satisfy such a need or objective.
R23,Preconditions: Customer must be able to access the web order system via a web browser with HTTPS.
R24,Preconditions: Customer account must already be registered.
R25,Preconditions: Customer must be logged-in on the system.
R26,Preconditions: The customer must be logged-in on the system.
R27,Customer must be logged-in on the system.
R28,Customer must have item(s) in the shopping cart.
R29,Preconditions: Administrator account must already be registered.
R30,Preconditions: Administrator must be logged-in on the system.
R31,Preconditions: Administrator must be able to access the weborder system via a web browser with HTTPS.
R32,Preconditions: Sales Person account must already be registered.
R33,Preconditions: Sales Person must be logged-in on the system.
R34,Preconditions: Sales Person must be able to access the weborder system via a web browser with HTTPS.
R35,Preconditions: Customer must be able to access the weborder system via a web browser with HTTPS.
