item,text
R1,"The System shall provide the capability to operate in an Open Mode, within which authorized customers shall be allowed read-only access to requested Data Products."
R2,"The System shall provide the capability to operate in a Degraded System Mode, within which the system generates a subset of products based upon priority and availability of system resources."
R3,The System shall provide the capability to notify customers upon the NPOESS Ground System entering and leaving a Degraded Operations Mode.
R4,"The System shall provide the capability to operate in a Restricted Access Mode, within which only users meeting certain criteria will be authorized access to the data."
R5,The System shall provide the capability to send an electronic notification to authorized users when they receive restricted access data.
R6,The System shall be capable of defining Data Products for Ingest.
R7,"The System shall be capable of integrating System Elements including Scientific Algorithms, Product Tailoring Tools, Data Format Translati on Tools, and other pre-defined transformation utilities."
R8,The System shall provide the capability to suppor t functional and performance tests of system elements without impacting operational product generation.
R9,The System shall be capable of maintaining reco rds of at least 30 days (configurable) worth of Ingest history.
R10,The System shall provide the capability to control the execution of Scientific Algorithms.
R11,The System shall be capable of generating Data Products.
R12,The System shall provide the capability for an authorized user to adjust Product Generation priorities.
R13,The System shall be capable of rendering Platte Carre projections.
R14,The System shall be capable of rendering Mercator projections.
R15,The System shall be capable of rendering Polar Stereographic projections.
R16,The System shall be capable of aggregating Data Products up to and including one orbit.
R17,The System shall be capable of producing time-averaged Data Products.
R18,The System shall be capable of generating NOAA-Unique and Tailored Data Products with Government-specified grid spacing.
R19,The System shall be capable of reformatting Data Products into BUFR.
R20,The System shall be capable of reformatting Data Products into GRIB2.
R21,The System shall be capable of reformatting Data Products into GeoTIFF.
R22,The System shall be capable of reformatting Data Products into HDF5.
R23,The System shall be capable of reformatting Data Products into netCDF.
R24,The System shall be capable of compressing Data Products with the GZIP algorithm.
R25,The System shall be capable of compressing Data Products with the ZIP algorithm.
R26,The System shall be capable of compressing Data Products with the RICE algorithm.
R27,The System shall be capable of compressing images of Data Products with the JPEG algorithm.
R28,The System shall be capable of compressing animat ed images of Data Products with the MPEG algorithm.
R29,The System shall be capable of generating Data Products within a time frame not to exceed the maximum user-specified shelf-life of the Data Product.
R30,The System shall be capable of making Data Products available to registered users.
R31,"The System shall provide an online capability for registered users to request subscriptions to xDRs, Ancillary, NOAA-Unique, and Tailored Data Products."
R32,"The System shall provide an online capability for the Government to approve subscription requests for xDRs, Ancillary, NOAA-Unique, and Tailored Data Products."
R33,The System shall be capable of distributing NOAA-Unique Data Products to the CLASS Long-Term Archive (LTA).
R34,The System shall provide a list of files distributed to CLASS.
R35,The System shall provide the capability to receive an electronic delivery acknowledgement message from CLASS.
R36,The System shall be capable of delivering NDE Data Products to registered user's computer systems.
R37,The System shall be capable of notifying registered users of the status of their orders.
R38,The System shall be capable of notifying registered users of the status of the System.
R39,The System shall ensure that NDE information is accessible only to those authorized to have access.
R40,The System shall be capable of registering Us ers for the purpose of controlling their access to System Elements and Data Products.
R41,"The System shall provide a mechanism for reporti ng performance related to resource utilization, communications, product latencies, and hardware."
R42,The System shall provide an automatic failover capability that will re-create a fully functioning configuration from a failed configuration.
R43,"In the event of a failure of the Operational Environment during the NPOESS missions, the System Test Environment shall be capable of delivering products to the operational community within the same throughput and latency parameters as the operational system."
R44,The System shall be capable of monitoring the integrity of all data received from external sources.
R45,The System shall provide the capability for an authorized user to define data input integrity checks.
R46,"The System shall be capable of executing and recording the results of data input integrity checks, and initiate actions based on those results."
R47,The System shall be capable of making products available for distribution according to customer-
R48,"The System shall have the capability to monitor, record statistics, and deliver reports on its performance."
R49,The System shall be capable of retaining logs of all performance data for no less than 90 consecutive calendar days.
R50,"The System shall provide the capability to generate custom reports from data collected during data receipt, processing, and distribution."
R51,The System shall be capable of receiving data and products from IDPS.
R52,The System shall be capable of requesting and accepting all xDRs generated by the IDPS.
R53,The System shall be capable of receiving SARSAT Telemetry from the IDPS.
R54,The System shall be capable of receiving A-DCS data and telemetry from the IDPS.
R55,The System shall provide an operator console capable of utilizing IDPS client software for submitting subscriptions for Data Products to the IDPS.
R56,The System shall be capable of automatica lly submitting Ad Hoc Requests to the IDPS for retransmission of Data Products.
R57,The System shall be capable of receiving Data Delivery Reports (DDRs) from the IDPS.
R58,The System shall be capable of receiving Ancillary Data Products from the Environmental Satellite Processing Center (ESPC).
R59,The System shall be capable of ingesting and processing archived data.
R60,The System shall provide an operator console capable of requesting Data Products from the Comprehensive Large Array-data Stewardship System (CLASS).
R61,The System shall be capable of receiving Data Products delivered from CLASS.
R62,The System shall be capable of sending a Data Receipt to CLASS for each Data Product received from CLASS.
R63,"ESPC Operations shall provide an interface between NDE and the NPOESS Mission Management Center (MMC) such that 100% of the NDE inquiries to the MMC and NDE replies to MMC requests are received by the MMC in a time not to exceed that specified in the ICD, and that 100% of the notifications and inquiries from the MMC to NDE are received by NDE in a time not to exceed that specified by the ICD."
R64,The System shall provide an operator console capable of interfacing w ith the NPOESS trouble ticketing system.
R65,The System shall provide an operator console capable of interfacing with the ESPC trouble ticketing system.
R66,The System shall be capable of executing tasks according to a schedule.
R67,The System shall be capable of executing tasks initiated by events.
R68,The System shall be capable of executing 99% of its scheduled tasks in any consecutive 30 day period.
R69,The System shall be capable of executing 99% of its event driven tasks in any consecutive 30 day period.
R70,The System shall be capable of adjusting the priorities of scheduled and event-driven tasks.
R71,The System shall have the capacity to store 4 Terabytes (TBs) of data for testing purposes.
R72,"The System shall be capable of reporting on all ingested, generated, and distributed data according to the (Federal Geographic Data Committee (F GDC) Content Standard for Digital Geospatial Metadata (CSDGM), Vers."
R73,The System shall be capable of storing product quality information in the metadata of products created.
R74,The System shall be capable of retaining Data Products for a configurable period of time not to exceed 96 hours.
R75,The System shall be capable of accepting technology updates without System downtime.
R76,The System shall be capable of adding additional capacity without redesign of it's infrastructure.
R77,"The System shall comply with ESPC (DoC/NOAA/NESDIS) procedures and policies as stated in the NOAA IT Security Manual 212-1300, Version 3.3, dated May 15, 2007."
R78,"The System shall be capable of generating backups for all NDE data, procedures, and software."
R79,The System shall be capable of implementing automated backup procedures.
R80,The System shall be capable of returning to nominal operations following a restoration from system backups.
R81,The System shall be capable of protecting the integrity of NDE data in the event of human errors.
R82,The System shall be capable of protecting the inte grity of NDE data in the event of computer to computer transmission errors.
R83,The System shall be capable of protecting the integrity of NDE data from software bugs.
R84,The System shall be capable of protecting the integrity of NDE data in the event of a hardware malfunction such as a disk crash.
R85,The System shall be capable of protecting the integrity of NDE data in the event of a natural disaster.
R86,"The System shall be constructed using existing hardware where it is possible, practical, and approved by the Government."
R87,"The System shall be constructed using existing software where it is possible, practical, and approved by the Government."
R88,"The System shall be constructed using COTS a nd Open Source software where it is possible, practical, and approved by the Government."
R89,The NDE System Elements shall be designed to be reused in other Satellite Data Processing applications.
R90,The NDE System shall be designed so that Scientific Algorithms are invoked as objects.
R91,"The System shall provide the capability for operato rs to log and track events (i.e., MMC Service Requests, MMC Service Request Responses)."
R92,The System shall provide the capability for operators to update a summary log for the purposes of tracking the occurrence of significant events or activities.
R93,"The System shall provide the capability for operators to sort and search on summary log events for the purposes of identifying, troubleshooting, and reporting on significant activities."
R94,The System shall be capable of reporting on summary log events.
R95,The System shall provide the capability for operato rs to quiesce and restart the System.
R96,This capability should be designed to minimize interruptions of service.
R97,The System shall implement operational quality monitoring procedures that will detect and report to operators and management the acceptability of xDR metadata according to configurable thresholds.
R98,The System shall implement operational quality monitoring procedures that will detect and report to operators and management the acceptability of output product metadata according to configurable
R99,"The System shall be capable of changing system status to reflect the condition of NPOESS (i.e., Degraded Operations, Restricted Access)."
R100,The System shall provide the capability for operators to forward NDE System Elements to CLASS for permanent archive.
R101,The NDE Ingest capability shall not be interrupted for more than 2 hours in any consecutive 24 hour period and no more than 4 hours in any consecutive 30 day period.
R102,The NDE Product Generation capability shall not be interrupted for more than 2 hours in any consecutive 24 hour period and no more than 4 hours in any consecutive 30 day period.
R103,The NDE Distribution capability shall not be interrupted for more than 2 hours in any consecutive
R104,The NDE Operations Monitoring capability shall not be interrupted for more than 2 hours in any consecutive 24 hour period and no more than 4 hours in any consecutive 30 day period.
R105,The Development and Maintenance Environment shall be available to at least 25 developers 85% of the time during normal business hours over any consecutive twelve month period.
R106,The System shall be capable of accessing data delivered by IDPS within no more than ten seconds of notification from IDPS.
R107,The System shall deliver SARSAT Telemetry da ta from IDPS to US Mission Control Center
R108,The System shall deliver A-DCS Telemetry data from IDPS to the US Global Processing Center within 1 minute of their receipt.
R109,The System shall deliver A-DCS Data Products from IDPS to the US Gl obal Processing Center within 1 minute of their receipt.
R110,"During the NPP mission, the System shall be capable of supporting product volumes of 4 Terrabytes per day of input and 8 Terabytes per day of output."
R111,"During the NPOESS-C1 mission, the System shall be capable of supporting product volumes of 8 Terabytes per day of input and 16 Terrabytes per day of output."
R112,"During the NPOESS-C2 mission, the System shall be capable of supporting product volumes of 8 Terabytes per day of input and 16 Terabytes per day of output."
R113,"The System shall be compliant with the OMB Federal Enterprise Architecture (FEA) according to the documents dated December 2006, and available from http://www.whitehouse.gov/omb/egov/a-2- EAModelsNEW2.html ."
R114,"Moreover, an application server should handle most, if not all, of the business logic and data access of the application."
R115,"Each use case provides one or more scenarios that convey how the system should interact with the users, called actor, to achieve a specific business goal or function."
R116,"EA will include documentation in Table 1. ~Analysis of designs SE2 Lower the cost and risks of operating the systems that will generate and distribute NPOESS- derived products to customers Design Requirement A: Design an Operational EnvironmentThe contractor shall design and provide a reliable cost estimate of an NDE product processing system (develop a set of diagrams and supporting text) with an open architecture, such that its capabilities can be executed by other satellite data processing applications and can easily be operated on Open Architecture: During the first year of the contract, prior to coding, the contractor shall develop a set of diagrams and supporting text that describes NDE product processing in the context of all NESDIS data processing missions.Reusabi lity: During the first year of the contract, prior to ~Analysis of designs"
R117,"Capabilities that must be specified in this design include, but are not limited to:- Database management systems (DBMS)- Work management and scheduling systems- Libraries - Object repositories- Object repository content Shared data objects (i.e., lookup tables, ancillary data) Shared procedural objects (i.e., utilities, called- modules, subroutines, etc.) coding, the contractor shall provide a set of diagrams and supporting text that describes an NDE product processing system in which the maximum number of system elements are accessible by the greatest possible number of product processing applications.Reli ability: The NDE operational environment will be designed for a high degree of reliability- maintain full operational status"
R118,"Architecture: During the first year of the contract, prior to coding, the contractor shall develop a set of diagrams and supporting text that describes NDE development capabilities in the context of all NESDIS data processing missions."
R119,"Reusability: During the first year of the contract, prior to coding, the contractor shall provide a set of diagrams and supporting text that describes a developmental IT infrastructure in which developmental resources (tables, CASE tools,"
R120,"The System Test Environment must support the following: Provide a capability for products to be generated and distributed to customers throughout the NPP mission. (NOTE: The System Test environment will be used to generate NPP products for customers as “quasi- operational.”) Evaluate candidate system elements for operational fitness, performing Ease of Use, Efficiency, Manageability: During the first year of the contract, prior to coding, the contractor shall provide a set of diagrams, supporting text, and procedures that describe a System Test Environment to be administered and operated in such a way that all elements submitted to them for testing and review can be evaluated for operational fitness in less than five working days after submission by developers. ~Analysis of System Test Designs"
R121,"SE5 Ability to isolate, alter, and test the The contractor shall develop the data Modularity: During the ~Analysis of designs"
R122,"system functions processing elements of the future system in such a way that algorithms are invoked as objects with hidden information. project, prior to coding, the contractor shall provide a set of diagrams and supporting text that describes how algorithms are to be invoked as objects"
R123,SE6 The contractor's design shall meet IT security standards (see System Management Requirements G through J) The contractor shall provide documentation needed for Information System Certification and Accreditation.
R124,"The contractor shall use Government Maturity Models for Configuration Control of documentation, Information System components, EA, and IT Security."
R125,The contractor shall design and build the NDE Information System using NOAA IT Best Practices provided by NDE Project Manager.
