item,text
R1,"Victor Winter, shall approve this document."
R2,Document Change Control Initial Release: 5/1/2001 Current Release: HATS GUI SRS 1.5 Indicator of Last Page in Document: ♦ Date of Last Review: 11/01/2001 Date of Next Review: None scheduled Target Date for Next Update: None scheduled Distribution List This following list of people shall receive a copy of this document every time a new version of this document becomes available: Customer: Dr.
R3,"This document shall serve as a reference guide to the developer for software design, implementation, and maintenance."
R4,"The system shall provide to the user the ability to prepare applications, utilize HATS to apply transformations, and display and manipulate the output resulting from execution of transformations."
R5,The definitions given below are specific to this document and may not be identical to definitions of these terms in common use.
R6,An application is a stand-alone entity and contains all the data sets required to perform and view transformations.
R7,Level The number of edges that must be traversed in order to reach a node in a tree starting from the root.
R8,Product Features The HATS-GUI shall provide a user with the ability to construct and use transformations.
R9,The HATS-GUI shall facilitate the following activities: • management of applications;
R10,"Management Of Applications The HATS-GUI shall facilitate the creation, deletion, and modification of the files related to an application."
R11,"As a practical matter, all files related to an application shall be stored in the same directory or folder."
R12,"In addition, the HATS-GUI shall manage file associations within an application."
R13,The HATS- GUI shall allow the user to examine and modify these associations.
R14,Parsing Of Transformation Language Programs and Target Files The HATS-GUI shall orchestrate the parsing of transformation language programs and target files.
R15,Two types of files must be parsed.
R16,Execution of Transformation Language Programs The HATS-GUI shall orchestrate the execution of transformation language programs.
R17,"In order for HATS-SML to execute a transformation program, the program must be parsed and saved as an SDT."
R18,The HATS-GUI shall capture data written to these streams and make that data available to the user.
R19,Examination of SDT and Pretty-Printed Output From Transformations The HATS-GUI shall facilitate the display of transformation output and error messages received from HATS- SML in response to parsing or transformation.
R20,The display of SDTs and pretty-printed text shall allow the user to manipulate the display by choosing portions of the tree to display and by allowing the user to search for text strings and sub-trees.
R21,"Before applying a transformation to a target file, a user must first prepare the application."
R22,Editor configuration information must be sufficient to start the editor on the Host OS.
R23,General Constraints The general constraints on the development of the system are as follows: • The system shall be platform independent and function properly on any operating system.
R24,"Specifically, the system shall be tested under Sun Solaris, Windows 2000, and Linux."
R25,It is intended for the system to run under any variation of the Microsoft Windows operating system later than Windows 95. • The system shall be designed in such a way as to minimize the number of windows opened by the application.
R26,"For example, it is not acceptable to open a new window for every output file generated by HATS-SML at the time each file is received by the HATS-GUI. • The system shall be developed using the Java programming language. • The system shall be completed by December 2001."
R27,"Assumptions and Dependencies The following assumptions are made with respect to the HATS-GUI: • A JVM shall have been installed on the system under which the HATS-GUI is running. • An ML interpreter shall have been installed on the system under which the HATS-GUI is running. • HATS shall run on the same system on which the HATS-GUI is running. • HATS shall support only one user at a time. • Users shall have a high level of sophistication and shall not need guidance in the form of extensive help messages. • The Host OS shall support a hierarchical, tree-structured file system. • The development team shall use this SRS to implement the system. • HATS-SML version 2.0 shall be available by October, 2001."
R28,"User Interfaces [SRSreq 01] Any operation requiring the user to supply a file name shall allow the user either to select the files from a list derived from files in the currently open application or to key in a file name, a relative path name, or a complete path name. [SRSreq 02] For any operation where the user is prompted to select from a list, the user shall be able to cancel the operation. [SRSreq 03] When collecting generated output files from HATS-SML, the HATS-GUI shall overwrite any file whose name is generated automatically."
R29,"If X.tlp.parsed existed prior to executing the parser, it shall be overwritten without prompting the user. [SRSreq 04] When saving or copying files, the HATS-GUI shall use the following sequence of actions: • The HATS-GUI shall prompt the user for a file name for the file to be saved. • The HATS-GUI shall examine the contents of the application directory. • If a file with the given name already exists, the HATS-GUI shall prompt the user to overwrite the existing file."
R30,"If the user agrees to overwrite the file, the HATS-GUI shall: o attempt to write the new file using a temporary name, o delete the previously existing file, o then rename the new file. • If the user does not agree to overwrite the existing file or if system errors occur while writing or renaming the new file or deleting the previous file, the new file shall not be written and the previous file shall be left unchanged. • In the case of an error, the HATS-GUI shall notify the user of the error."
R31,"For example, the user shall be able to save an SDT generated during transformation program execution."
R32,"If the user specifies the name of an existing file, the existing file is only overwritten after the user confirms that it is permissible to do so. [SRSreq 05] Output pretty-printed text files and SDTs shall only be displayed when the user requests. [SRSreq 06] The main interface shall be menu driven."
R33,[SRSreq 07] The File menu shall contain menu items related to manipulating individual files and for closing the HATS-GUI application. [SRSreq 08] The Application menu shall contain items related to manipulating entire applications. [SRSreq 09] The Configure menu shall contain items related to modifying the configuration of the application. [SRSreq 10] The Run menu shall contain items related to executing the HATS-SML programs. [SRSreq 11] The View menu shall contain items related to viewing HATS-SML output. [SRSreq 12] The File/Select menu item shall provide an interface for selecting files within the currently open application. [SRSreq 13] The File/Edit menu item shall provide an interface for starting an editor as an external process.
R34,The editor shall be started according to information in the application configuration. [SRSreq 14] The File/Save-as menu item shall provide an interface for saving a previously selected file under a different name. [SRSreq 15] The File/Delete menu item shall provide an interface for deleting a selected file.
R35,The HATS-GUI shall prompt the user to confirm deletion prior to completing this action. [SRSreq 16] The File/Exit menu item shall provide an interface for exiting the HATS-GUI. [SRSreq 17] The Application/Select menu item shall provide an interface for selecting and opening an application. [SRSreq 18] The Application/Close menu item shall provide an interface for closing an application. [SRSreq 19] The Application/Save menu item shall provide an interface for saving application configuration information. [SRSreq 20] The Application/Save-as menu item shall provide an interface for saving an application and its associated files under a different name. [SRSreq 21] The Application/Delete menu item shall provide an interface for deleting an application and all the files in the application directory.
R36,The HATS-GUI shall prompt the user to confirm deletion prior to completing this action. [SRSreq 22] The Configure/Editors menu item shall provide an interface for the user to enter editor configuration information.
R37,This information shall be used when editors are started as processes. [SRSreq 23] The Configure/Node Display menu item shall provide an interface for configuring the display of nodes. [SRSreq 24] The HATS-GUI shall allow the user to specify the number of levels of nodes to expand during SDT viewing. [SRSreq 25] The HATS-GUI shall allow the user to select the colors for types of displayed nodes in a displayed graph.
R38,"At a minimum, the system shall provide eight colors (red, yellow, white, black, green, blue, orange, and violet) for displayed nodes. [SRSreq 26] The HATS-GUI shall allow the user to select the shapes for types of displayed nodes in a displayed graph."
R39,"At a minimum, the system shall provide two shapes, rectangles and ellipses, for displayed nodes. [SRSreq 27] The Configure/File Associations menu item shall provide an interface for associating files in an application."
R40,File associations are shown in Table 6. [SRSreq 28] The Configure/HATS-SML menu item shall provide an interface for the user to enter implementation-dependent information for starting HATS-SML processes. [SRSreq 29] The Run/Generate Parser menu item shall provide an interface for generating a parser program. [SRSreq 30] The Run/Parse Target menu item shall provide an interface for selecting and parsing target programs. [SRSreq 31] The Run/Parse Program menu item shall provide an interface for selecting and parsing transformation language programs.
R41,"[SRSreq 32] The Run/Execute Transforms menu item shall provide an interface for selecting and executing transformation language programs. [SRSreq 33] The Run/Pretty-print menu item shall provide an interface for selecting SDTs and pretty-print style files and formatting the SDT according to the style. [SRSreq 34] The View/SDT menu item shall provide an interface for viewing, navigating through, and searching SDTs output from the execution of transformation programs. [SRSreq 35] The View/Text menu item shall provide an interface for viewing and searching pretty-printed text. [SRSreq 36] The View/Standard Error menu item shall provide an interface for viewing error strings collected from HATS-SML. [SRSreq 37] The View/Standard Output menu item shall provide an interface for viewing debugging information collected from HATS-SML. [SRSreq 38] The View/Select Text menu item shall provide an interface for selecting pretty-printed text or text strings associated with SDT displays. [SRSreq 39] The View/Copy Text menu item shall provide an interface for copying selected text into an operating system buffer."
R42,"HATS-SML [SRSreq 40] The HATS-GUI shall interface with HATS-SML (version 2.0) in order to parse transformation language programs, execute transformation language programs, and create output SDTs, error messages, pretty-printed text, and parsed transformation language programs."
R43,The interface shall consist of starting HATS-SML programs and passing command line arguments and capturing data written to the standard output and standard error streams of the HATS-SML processes.
R44,"The HATS-SML programs and their command line arguments are described in Appendix D. [SRSreq 41] The GUI shall allow the user to create, modify, copy, or delete applications or files regardless of the current status of HATS-SML. [SRSreq 42] If the HATS-GUI attempts to start a HATS-SML program and fails, the HATS-GUI shall notify the user by displaying the following message: “Unable to start HATS-SML.” The HATS-GUI shall provide any other details related to the failure that are available from the Host OS."
R45,"Host OS [SRSreq 43] The HATS-GUI shall be able to communicate with Sun Solaris, Linux, and Windows 2000. [SRSreq 44] Data sets shall be saved as files using file names with the appropriate extensions."
R46,See Table 3 for description of the files and extensions. [SRSreq 45] The user shall be able to initiate processes from an interface provided by the HATS-GUI.
R47,The HATS-GUI shall optionally pass command line arguments to the process.
R48,[SRSreq 47] The HATS-GUI shall interact with the HOST OS file services to perform the following tasks: • Create new files • Delete existing files • Open an existing file for read and/or write • Read from an open file • Write to an open file • Close an open file.
