item,text
R1,"Only those conditions expressed with the imperative ""shall"" are to be interpreted as binding requirements for this SRS."
R2,The SRS shall give a prototype of a simulated thermostat for verification and validation of THEMAS reliability.
R3,"In the event of conflict between the documents referenced and the contents of this SRS, the contents of this document shall overrule all others, with the exception of the Statement of Work."
R4,The system should not need intervention from outside users other than the supervisor to maintain operation of THEMAS.
R5,The system should provide warnings to the supervisor about faulty temperatures.
R6,The displaying of the current status of the system to the supervisor should not contain excessive information which could confuse the supervisor.
R7,The system should provide information in the form of reports to the supervisor so that the system can be run efficiently.
R8,The thermostats shall only provide temperature values and temperature settings.
R9,"When a signal is sent to a heating or cooling unit, no signal shall be available to allow the THEMAS system to determine if the signal sent to the unit was realized by the unit."
R10,The THEMAS system shall be designed to run on the Microsoft ® Windows NT™ operating system.
R11,All the internal process communications shall be designed to operate on this operating system.
R12,Any communication with the thermostats and heating and cooling units shall be done through the interface to these units.
R13,These interfaces shall run on this operating system as well.
R14,The heating/cooling unit shall have the capability of being turned off and on by the supervisor of the THEMAS system.
R15,The THEMAS system shall control the heating and cooling units that are defined as part of the THEMAS system.
R16,The system shall read this file and the definitions shall be derived from the initialization data in the file.
R17,The THEMAS system shall use the information contained in the initialization data file to determine which heating and cooling units are part of the THEMAS system.
R18,Each thermostat shall have a unique identifier by which that thermostat is identified in the THEMAS system.
R19,Each quadrant of each floor shall have a thermostat which is to be used to provide temperature data to the THEMAS system.
R20,initialization file shall contain a unique identifier for each thermostat that the system is to monitor.
R21,These identifiers shall be read from the initialization file and loaded into the THEMAS system during the initialization process.
R22,There shall be a maximum number of heating or cooling units that can be on at any given time.
R23,The maximum number of heating or cooling units that can run concurrently shall reside in an initialization file.
R24,The maximum number of concurrently running units shall be read from the initialization file and stored in the THEMAS system.
R25,The trigger value is used in combination with the current temperature to determine when a heating or cooling unit shall be turned on or off.
R26,The trigger values shall reside in an initialization file.
R27,This procedure shall read the initialization file and establish the trigger value from the data in that file.
